Delivery_person_Age,Delivery_person_Ratings,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance
37.0,4.9,Sunny,High,1,Snack,scooter,1.0,No,Metropolitian,19,20002.517400169836
32.0,4.1,Fog,Jam,1,Snack,motorcycle,3.0,No,Metropolitian,44,20002.48979884379
20.0,4.7,Sunny,High,1,Drinks,motorcycle,0.0,No,Urban,16,20002.519705601793
28.0,4.8,Windy,Low,1,Buffet,motorcycle,0.0,,Metropolitian,11,20002.509652571003
37.0,4.8,Windy,Jam,2,Snack,electric_scooter,1.0,No,Metropolitian,28,20002.515795509775
30.0,4.7,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,18,20002.50894173106
34.0,4.7,Sunny,Jam,2,Meal,scooter,1.0,No,Urban,19,20002.508241072992
20.0,5.0,Fog,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,14,20002.517462135515
22.0,4.7,Cloudy,Low,0,Buffet,motorcycle,1.0,No,Urban,19,20002.515940083857
39.0,4.1,Cloudy,High,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.517566498176
26.0,4.8,Windy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,24,20002.505515337827
31.0,4.8,Sandstorms,Medium,0,Snack,motorcycle,0.0,No,Metropolitian,44,20002.505118663616
35.0,4.5,Sunny,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,28,20002.515836000974
22.0,4.7,Sandstorms,High,1,Meal,motorcycle,0.0,No,Urban,19,20002.517566837272
38.0,4.8,Sunny,High,2,Drinks,scooter,0.0,No,Metropolitian,19,20002.517718640298
22.0,2.8,Sunny,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,37,20002.506328928375
24.0,4.8,Cloudy,Medium,1,Buffet,scooter,1.0,No,Metropolitian,13,20002.518861924756
30.0,4.3,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.508457874694
36.0,4.4,Cloudy,Medium,2,Meal,scooter,1.0,No,Metropolitian,42,20002.511897818313
38.0,4.6,Cloudy,Medium,0,Drinks,motorcycle,3.0,No,Metropolitian,46,20002.488252294614
34.0,5.0,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,20,20002.49872106186
24.0,4.7,Sunny,Medium,1,Drinks,scooter,1.0,No,Urban,12,20002.51619701422
21.0,5.0,Sunny,Jam,1,Meal,motorcycle,1.0,No,Urban,19,20002.505745592167
33.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,24,20002.50500386683
30.0,4.8,Fog,Medium,0,Snack,motorcycle,1.0,No,Urban,27,20002.51736898849
22.0,4.7,Windy,Medium,2,Drinks,motorcycle,1.0,No,Urban,27,20002.517551148336
20.0,4.7,Fog,Medium,2,Snack,electric_scooter,0.0,No,Urban,10,20002.517552734913
25.0,4.7,Sunny,Jam,2,Snack,motorcycle,0.0,No,Metropolitian,10,20002.505556585755
25.0,4.9,Cloudy,Low,2,Snack,scooter,0.0,No,Urban,12,20002.515576659665
34.0,4.7,Stormy,Jam,0,Drinks,motorcycle,2.0,No,Metropolitian,41,20002.49738972567
21.0,4.7,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.510921865294
21.0,4.8,Windy,Jam,2,Meal,electric_scooter,0.0,No,Urban,12,20002.515939238267
22.0,4.6,Windy,Jam,2,Snack,scooter,1.0,No,Metropolitian,26,20002.508668301314
24.0,4.5,Cloudy,Low,1,Drinks,motorcycle,0.0,No,,16,20002.520244115247
28.0,4.6,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,19,20002.50500511935
27.0,5.0,Stormy,Jam,1,Meal,motorcycle,1.0,No,,23,20002.486207363596
23.0,4.6,Sandstorms,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,19,20002.506327060382
22.0,4.5,Sandstorms,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,25,20002.508296060187
36.0,5.0,Sandstorms,Low,2,Meal,scooter,1.0,No,Urban,22,20002.51875847875
35.0,5.0,Sandstorms,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,34,20002.51568727283
27.0,4.6,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,19,20002.51872455234
37.0,4.8,Stormy,Medium,2,Drinks,motorcycle,1.0,No,Metropolitian,30,20002.515840081684
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.513947618732
33.0,4.9,Sunny,Jam,0,Buffet,motorcycle,1.0,No,Metropolitian,26,20002.508332491692
30.0,5.0,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,20,20002.515958435415
22.0,4.9,Cloudy,Medium,0,Meal,motorcycle,1.0,No,Metropolitian,30,20002.51114003468
,,,,3,Meal,electric_scooter,1.0,No,Metropolitian,33,20002.513602621795
30.0,4.1,Sandstorms,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.52024411624
36.0,4.9,Fog,Medium,1,Meal,motorcycle,1.0,No,Metropolitian,18,20002.518815835538
33.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Metropolitian,13,20002.515940318135
30.0,4.8,Windy,Jam,2,Buffet,motorcycle,1.0,No,Urban,26,20002.513947715735
22.0,4.9,Sunny,Jam,2,Drinks,electric_scooter,,No,Metropolitian,24,20002.488489077794
34.0,4.7,Stormy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,21,20002.511430173
31.0,4.6,Sandstorms,High,0,Meal,motorcycle,1.0,No,Metropolitian,36,20002.520245958516
35.0,4.4,Fog,Medium,2,Snack,scooter,0.0,No,Metropolitian,37,20002.51162207384
33.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.508012619965
,,Sandstorms,High,2,Drinks,scooter,1.0,No,Metropolitian,32,20002.517399930504
32.0,5.0,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,42,20002.51109627885
33.0,4.6,Sandstorms,Low,1,Drinks,scooter,0.0,No,Urban,20,20002.51592672132
24.0,4.9,Cloudy,Jam,1,Snack,scooter,2.0,No,Metropolitian,37,20002.48814765035
20.0,4.3,Sunny,High,0,Meal,motorcycle,0.0,No,Metropolitian,46,20002.517480280752
35.0,4.8,Sunny,Low,2,Buffet,electric_scooter,0.0,No,Metropolitian,12,20002.51360268723
28.0,4.3,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520238440025
26.0,4.7,Cloudy,Medium,0,Drinks,motorcycle,2.0,No,Metropolitian,35,20002.48848268352
23.0,4.9,Cloudy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,26,20002.518903100332
31.0,4.9,Fog,Medium,0,Buffet,motorcycle,0.0,No,Urban,35,20002.508642310782
29.0,4.5,Stormy,Jam,1,Snack,scooter,0.0,No,Urban,19,20002.497562003882
,,Fog,High,1,Snack,motorcycle,1.0,No,Metropolitian,31,20002.520240190246
39.0,4.6,Sunny,Jam,1,Snack,scooter,0.0,No,Metropolitian,20,20002.515700728014
21.0,4.8,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.519669007703
26.0,4.9,Fog,Low,0,Snack,motorcycle,1.0,No,Metropolitian,23,20002.520231456303
29.0,4.7,Sandstorms,High,1,Drinks,scooter,0.0,,Metropolitian,11,20002.520241974802
34.0,4.5,Stormy,Low,0,Meal,motorcycle,1.0,No,Urban,26,20002.499369349367
30.0,4.6,Sunny,Jam,1,Meal,motorcycle,0.0,No,Metropolitian,17,20002.515940023983
34.0,4.8,Sunny,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.5156985671
33.0,4.7,Fog,Low,0,Meal,motorcycle,1.0,No,Metropolitian,35,20002.511900663943
23.0,4.8,Sunny,Jam,1,Drinks,scooter,1.0,No,Metropolitian,17,20002.50679415973
33.0,4.3,Windy,Low,0,Buffet,motorcycle,0.0,No,Metropolitian,27,20002.51970556299
23.0,4.6,Cloudy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,32,20002.505003861723
31.0,5.0,Windy,High,2,Meal,scooter,1.0,No,Metropolitian,28,20002.517393110273
39.0,4.8,Cloudy,Medium,0,Snack,motorcycle,1.0,No,,34,20002.518805795335
20.0,4.7,Windy,Medium,2,Snack,electric_scooter,1.0,No,Urban,19,20002.49822201401
37.0,5.0,Sunny,Low,1,Meal,motorcycle,,No,Metropolitian,12,20002.519663818384
,,Stormy,Low,2,Snack,scooter,1.0,No,,14,20002.498495899927
31.0,4.8,Sunny,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,27,20002.508012619965
22.0,4.7,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,18,20002.511139548915
30.0,4.9,Windy,Low,2,Buffet,scooter,1.0,No,Metropolitian,25,20002.505562981485
38.0,4.7,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,26,20002.49100521461
34.0,4.1,Stormy,Jam,1,Buffet,scooter,0.0,No,Metropolitian,37,20002.496957495794
34.0,3.5,Sunny,Jam,2,Buffet,scooter,1.0,No,Metropolitian,31,20002.511634543007
28.0,4.8,Fog,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,40,20002.508327648946
27.0,5.0,Sunny,Jam,2,Meal,scooter,0.0,No,Urban,16,20002.51592672132
,,Fog,High,0,Drinks,motorcycle,1.0,No,Urban,28,20002.517566373615
22.0,4.3,Fog,Jam,1,Meal,scooter,0.0,No,Metropolitian,42,20002.504715476327
31.0,4.1,Cloudy,Jam,2,Drinks,motorcycle,1.0,No,Metropolitian,41,20002.508929914886
35.0,5.0,Cloudy,High,2,Meal,electric_scooter,1.0,No,Metropolitian,28,20002.520231456303
30.0,4.7,Sandstorms,High,2,Buffet,motorcycle,1.0,No,Urban,32,20002.52024125662
35.0,4.0,Stormy,Medium,2,Drinks,electric_scooter,0.0,No,Metropolitian,32,20002.515687203424
35.0,4.8,Fog,Jam,2,Meal,scooter,1.0,No,Metropolitian,38,20002.508330750465
24.0,4.7,Windy,Medium,2,Buffet,motorcycle,,No,Metropolitian,28,20002.51362313871
36.0,4.5,Fog,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,49,20002.508823713073
27.0,5.0,Windy,Low,0,Buffet,motorcycle,1.0,No,Urban,23,20002.511096619066
39.0,4.8,Sandstorms,Medium,2,Snack,scooter,0.0,No,Metropolitian,27,20002.498016928905
22.0,4.0,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,32,20002.511096224676
39.0,4.4,Windy,Jam,0,Drinks,motorcycle,3.0,Yes,Metropolitian,54,20002.505954827127
29.0,4.9,Stormy,Low,1,Snack,motorcycle,1.0,No,Urban,11,20002.508012619965
39.0,4.1,Windy,Jam,2,Drinks,electric_scooter,1.0,No,Metropolitian,33,20002.518711838384
34.0,4.6,Cloudy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,29,20002.52024016378
36.0,4.5,Sunny,High,2,Drinks,scooter,1.0,No,Urban,15,20002.52024408644
35.0,4.9,Sunny,Jam,2,Snack,electric_scooter,0.0,No,Urban,19,20002.51877245317
27.0,4.5,Sandstorms,Low,1,Drinks,scooter,0.0,No,Metropolitian,11,20002.518841257828
29.0,2.6,Sunny,Low,2,Buffet,electric_scooter,1.0,No,Metropolitian,31,20002.49929771976
,,Fog,Low,1,Buffet,motorcycle,1.0,No,Urban,30,20002.48847779029
30.0,4.3,Stormy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,36,20002.491018193283
23.0,5.0,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,17,20002.520246727
23.0,4.8,Cloudy,High,0,Drinks,motorcycle,1.0,No,Metropolitian,22,20002.51748927508
32.0,4.8,Sandstorms,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,29,20002.518758488564
26.0,4.2,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,29,20002.51966376396
25.0,4.3,Windy,Medium,0,Meal,motorcycle,,No,,38,20002.50511398832
36.0,4.6,Sandstorms,High,1,Buffet,motorcycle,0.0,No,Metropolitian,30,20002.520235849996
23.0,4.6,Sandstorms,Jam,2,Meal,motorcycle,0.0,No,Metropolitian,20,20002.48847701304
24.0,4.6,Windy,Low,1,Drinks,scooter,1.0,No,Urban,16,20002.520251332055
26.0,4.6,Stormy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,23,20002.51116283262
36.0,4.7,Stormy,Low,0,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.48912840443
31.0,5.0,Stormy,Jam,2,Snack,scooter,1.0,No,Metropolitian,34,20002.51566567517
37.0,4.2,Cloudy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,34,20002.51396564336
38.0,4.8,Cloudy,Low,1,Snack,scooter,1.0,No,Metropolitian,25,20002.505892183868
26.0,4.6,Windy,Jam,0,Drinks,motorcycle,0.0,No,Metropolitian,16,20002.51592707548
20.0,4.9,Fog,Low,2,Meal,motorcycle,0.0,No,Urban,14,20002.51568708667
26.0,4.9,Cloudy,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,42,18517.826113387982
35.0,4.4,Windy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,20,20002.519694481838
34.0,4.4,Cloudy,High,1,Snack,scooter,1.0,No,Metropolitian,39,20002.517378842178
22.0,4.9,Stormy,Medium,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,20002.517461440242
25.0,4.5,Sunny,Jam,2,Drinks,motorcycle,0.0,No,Metropolitian,11,20002.513947610292
36.0,4.7,Sandstorms,Medium,2,Meal,scooter,0.0,No,Urban,28,20002.518767997975
34.0,4.7,Cloudy,Jam,2,Drinks,electric_scooter,2.0,Yes,Urban,41,20002.511164577067
37.0,4.8,Sunny,Low,1,Meal,scooter,1.0,No,Urban,29,20002.498230793626
26.0,4.8,Cloudy,Low,2,Buffet,scooter,1.0,No,Urban,16,20002.519667286317
28.0,4.2,Sunny,Jam,0,Meal,motorcycle,3.0,No,Metropolitian,49,20002.515700895357
25.0,4.7,Fog,Low,1,Buffet,motorcycle,0.0,,Metropolitian,10,20002.51971017921
32.0,4.9,Sunny,Low,2,Snack,motorcycle,1.0,No,,17,20002.49879122344
26.0,4.7,Cloudy,Medium,1,Drinks,motorcycle,1.0,No,Metropolitian,28,20002.508677536538
37.0,4.9,Sandstorms,Low,1,Buffet,motorcycle,1.0,No,Urban,15,20002.48913037868
31.0,4.7,Windy,Jam,0,Snack,motorcycle,0.0,No,Metropolitian,47,20002.51607423629
27.0,4.7,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,15,20002.511139305843
39.0,4.8,Sunny,Jam,0,Drinks,motorcycle,1.0,No,Metropolitian,24,20002.5156992511
28.0,4.9,Stormy,Low,2,Snack,scooter,0.0,No,Urban,15,20002.518679857174
28.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,1.0,No,Metropolitian,33,20002.508825954254
26.0,4.5,Cloudy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,26,20002.51360252181
39.0,4.3,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,,22,20002.52023638387
26.0,4.5,Sandstorms,Jam,2,Drinks,motorcycle,1.0,No,Urban,14,20002.515687723964
30.0,3.7,Sandstorms,Jam,2,Meal,scooter,1.0,No,Metropolitian,33,20002.508642124503
33.0,4.4,Cloudy,Jam,2,Snack,scooter,0.0,No,Metropolitian,48,20002.498656415075
27.0,4.9,Stormy,Medium,1,Snack,scooter,1.0,No,Metropolitian,26,20002.4909192421
37.0,4.9,Sandstorms,High,2,Snack,scooter,0.0,No,Metropolitian,26,20002.52024200717
27.0,4.2,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,24,20002.519669223744
39.0,4.8,Sandstorms,Medium,1,Drinks,scooter,0.0,No,Metropolitian,25,20002.490110951214
28.0,4.4,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Urban,15,20002.519705555784
34.0,3.7,Fog,Low,1,Meal,motorcycle,2.0,No,Metropolitian,33,20002.50511170596
31.0,4.6,Fog,Low,2,Snack,electric_scooter,1.0,No,Metropolitian,15,20002.51969119511
38.0,4.9,Fog,Jam,1,Snack,motorcycle,0.0,No,Metropolitian,31,20002.516216779804
34.0,4.8,Stormy,Low,2,Buffet,motorcycle,1.0,No,Metropolitian,23,20002.520241295624
,,,,3,Snack,electric_scooter,2.0,No,Urban,40,20002.511350864854
,,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,19,20002.515700815708
37.0,4.4,Sunny,Medium,0,Snack,motorcycle,1.0,No,Metropolitian,39,20002.50857172745
28.0,4.9,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,15,20002.498716283688
37.0,4.5,Fog,Jam,0,Meal,motorcycle,2.0,No,Metropolitian,51,20002.49822201401
37.0,4.9,Sandstorms,Jam,1,Buffet,motorcycle,1.0,No,Urban,29,20002.504715476327
37.0,4.6,Windy,High,2,Snack,scooter,1.0,No,Metropolitian,25,20002.520245710653
22.0,4.8,Stormy,Low,2,Meal,motorcycle,0.0,No,Metropolitian,19,20002.519729128406
39.0,4.7,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.518805795335
26.0,4.8,Windy,Low,2,Snack,scooter,0.0,No,Metropolitian,19,20002.498712275483
35.0,4.3,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,46,20002.511162600742
30.0,4.8,Cloudy,Medium,0,Drinks,motorcycle,0.0,No,Metropolitian,27,20002.51872393641
27.0,4.7,Fog,Medium,0,Buffet,motorcycle,1.0,No,Urban,28,20002.51881066557
30.0,4.6,Stormy,Jam,0,Buffet,motorcycle,3.0,Yes,Metropolitian,54,20002.49881193758
30.0,5.0,Fog,High,0,Snack,motorcycle,0.0,No,Metropolitian,27,20002.517462183678
23.0,4.6,Fog,High,1,Buffet,motorcycle,2.0,No,Metropolitian,33,20002.51967755898
32.0,4.7,Fog,Jam,1,Buffet,scooter,1.0,No,Metropolitian,29,20002.51566567517
31.0,4.8,Cloudy,Low,1,Meal,motorcycle,1.0,No,Metropolitian,15,20002.520245440584
32.0,4.7,Windy,Medium,1,Meal,motorcycle,0.0,No,Metropolitian,25,20002.4906873956
20.0,4.9,Stormy,Low,1,Meal,motorcycle,1.0,No,Urban,11,20002.519649606602
24.0,4.8,Stormy,Medium,1,Snack,scooter,0.0,No,Urban,25,20002.51568727283
37.0,4.5,Fog,Low,2,Meal,motorcycle,1.0,No,Metropolitian,16,20002.52024593533
27.0,4.5,Stormy,Jam,1,Drinks,motorcycle,1.0,No,Metropolitian,15,20002.4882542533
20.0,4.9,Stormy,Jam,1,Drinks,scooter,1.0,No,Metropolitian,22,20002.515937008084
36.0,4.7,Fog,Jam,0,Buffet,motorcycle,1.0,Yes,Urban,45,20002.505567253073
24.0,4.9,Windy,Low,2,Drinks,scooter,,No,Urban,11,20002.518816940006
28.0,4.6,Sandstorms,Low,2,Buffet,scooter,0.0,No,Urban,10,20002.506329892203
32.0,4.7,Windy,Low,1,Snack,scooter,1.0,No,Metropolitian,26,20002.5202358757
33.0,4.7,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,24,20002.520236352706
21.0,4.7,Cloudy,Jam,2,Buffet,scooter,1.0,No,Metropolitian,44,20002.50928774814
38.0,4.7,Cloudy,Low,2,Drinks,motorcycle,1.0,No,Urban,28,20002.488489077794
28.0,4.7,Windy,Jam,1,Drinks,scooter,1.0,No,Urban,26,20002.518809474357
36.0,4.9,Sandstorms,Jam,0,Meal,motorcycle,1.0,No,Urban,36,20002.50824105798
26.0,4.7,Fog,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,27,20002.515794989933
30.0,4.6,Cloudy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,20,20002.519688956894
23.0,4.9,Sunny,Low,0,Buffet,motorcycle,,No,Metropolitian,26,20002.505884953105
38.0,4.8,Sunny,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,20,20002.51881027695
33.0,4.7,Fog,Medium,2,Snack,motorcycle,0.0,No,Metropolitian,17,20002.51396659474
28.0,4.9,Stormy,High,0,Meal,motorcycle,1.0,No,Urban,22,20002.517551310746
28.0,4.8,Stormy,Low,2,Drinks,electric_scooter,1.0,No,Metropolitian,16,20002.51970757767
22.0,4.9,Cloudy,Low,2,Meal,scooter,1.0,No,Metropolitian,22,20002.497390636054
27.0,4.8,Cloudy,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,21,20002.51970014993
20.0,4.4,Fog,Jam,1,Meal,scooter,2.0,No,,32,20002.505956406276
25.0,4.4,Stormy,Low,0,Meal,motorcycle,1.0,No,Metropolitian,23,20002.51969163167
21.0,4.3,Windy,Low,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.513947514624
29.0,5.0,Fog,Medium,1,Drinks,motorcycle,,No,Urban,30,20002.490022374204
34.0,4.8,Cloudy,Jam,2,Buffet,motorcycle,1.0,No,Metropolitian,42,20002.498150534695
22.0,4.9,Cloudy,Low,0,Drinks,motorcycle,0.0,No,Metropolitian,21,20002.49913310416
27.0,4.5,Cloudy,Medium,1,Snack,scooter,1.0,No,Urban,11,20002.51381415127
26.0,4.8,Windy,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,18,20002.519669201218
22.0,4.6,Fog,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,35,20002.505113871597
20.0,4.7,Sandstorms,Low,2,Meal,scooter,0.0,No,Metropolitian,17,19109.58609029478
37.0,4.6,Windy,Jam,1,Snack,motorcycle,1.0,No,Metropolitian,32,20002.515700292646
35.0,4.0,Stormy,High,0,Meal,motorcycle,1.0,No,Metropolitian,31,20002.520234995627
39.0,4.6,Cloudy,Jam,0,Meal,motorcycle,2.0,Yes,Metropolitian,50,20002.508331378383
25.0,4.0,Cloudy,Jam,1,Buffet,scooter,1.0,No,Metropolitian,33,20002.500061196886
20.0,4.9,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,20,20002.497388473686
30.0,4.8,Sunny,Low,1,Drinks,motorcycle,,No,Metropolitian,12,20002.519669522673
25.0,4.8,Sunny,Low,1,Buffet,motorcycle,0.0,No,Urban,16,20002.52023638387
24.0,4.9,Sunny,Medium,2,Drinks,scooter,0.0,No,Metropolitian,12,20002.488488710234
24.0,4.6,Windy,Medium,2,Snack,electric_scooter,0.0,No,Urban,24,20002.508327648946
,,Stormy,Jam,2,Drinks,scooter,1.0,No,Metropolitian,26,20002.518719707867
26.0,4.8,Sandstorms,Jam,0,Snack,motorcycle,1.0,No,Metropolitian,28,20002.50882503069
30.0,4.5,Fog,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,31,20002.505110511735
26.0,5.0,Windy,Medium,2,Drinks,scooter,1.0,No,Metropolitian,24,20002.51732220814
33.0,4.2,Cloudy,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,39,20002.518858543306
30.0,5.0,Stormy,Low,1,Meal,scooter,1.0,No,Metropolitian,24,20002.519688890727
39.0,4.1,Stormy,Jam,2,Meal,scooter,3.0,Yes,Metropolitian,42,20002.489554012183
36.0,4.9,Fog,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,41,20002.48814677834
24.0,4.3,Stormy,High,0,Buffet,motorcycle,0.0,No,Metropolitian,37,20002.5175664461
32.0,4.7,Windy,Low,0,Meal,motorcycle,1.0,No,Urban,29,20002.489395439254
20.0,5.0,Sandstorms,Low,1,Snack,motorcycle,,No,Metropolitian,10,20002.51189778454
22.0,5.0,Sunny,Jam,2,Snack,scooter,0.0,No,Metropolitian,17,20002.51885359055
